geometry,spin,inclination_deg,source_class,operator_notation,oldest_detectable_age_probe,shallowest_detectable_age,n_detectable_ages,n_detectable_runs,largest_contiguous_detectable_depth,largest_contiguous_start_M,largest_contiguous_end_M,detectable_set_is_contiguous,age_threshold_mask,right_censored,age_grid_max_M,censor_boundary_M,censoring_rule,depth_report,arm,snr0,total_ages,age_grid_max,best_mode_oldest_detectable_age_probe,best_mode_largest_contiguous_detectable_depth,best_mode_age_threshold_mask,best_mode_detectable_set_is_contiguous,best_mode_n_detectable_runs,best_mode_right_censored,best_mode_depth_report,disposition,disposition_reasons,counts_toward_denominator
a050_i075,0.5,75,C224,A_C = mathcal A Q_C,180.0,16.0,42,1,164.0,16.0,180.0,True,0000111111111111111111111111111111111111111111000000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,180.0,EQUALIZED_ORDER_SENSITIVITY,300.0,64,252.0,180.0,168.0,0001111111111111111111111111111111111111111111000000000000000000,True,1,False,180.0,SUPPORTED,,True
a050_i075,0.5,75,C224,A_C = mathcal A Q_C,180.0,12.0,43,1,168.0,12.0,180.0,True,0001111111111111111111111111111111111111111111000000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,180.0,EQUALIZED_ORDER_SENSITIVITY,1000.0,64,252.0,184.0,172.0,0001111111111111111111111111111111111111111111100000000000000000,True,1,False,184.0,SUPPORTED,,True
a050_i075,0.5,75,C224,A_C = mathcal A Q_C,184.0,12.0,44,1,172.0,12.0,184.0,True,0001111111111111111111111111111111111111111111100000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,184.0,EQUALIZED_ORDER_SENSITIVITY,3000.0,64,252.0,184.0,172.0,0001111111111111111111111111111111111111111111100000000000000000,True,1,False,184.0,SUPPORTED,,True
a050_i075,0.5,75,C224,A_C = mathcal A Q_C,184.0,12.0,44,1,172.0,12.0,184.0,True,0001111111111111111111111111111111111111111111100000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,184.0,EQUALIZED_ORDER_SENSITIVITY,10000.0,64,252.0,184.0,176.0,0011111111111111111111111111111111111111111111100000000000000000,True,1,False,184.0,SUPPORTED,,True
a050_i075,0.5,75,C224,A_C = mathcal A Q_C,184.0,8.0,45,1,176.0,8.0,184.0,True,0011111111111111111111111111111111111111111111100000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,184.0,EQUALIZED_ORDER_SENSITIVITY,30000.0,64,252.0,188.0,180.0,0011111111111111111111111111111111111111111111110000000000000000,True,1,False,188.0,SUPPORTED,,True
a050_i075,0.5,75,C224,A_C = mathcal A Q_C,188.0,8.0,46,1,180.0,8.0,188.0,True,0011111111111111111111111111111111111111111111110000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,188.0,EQUALIZED_ORDER_SENSITIVITY,100000.0,64,252.0,188.0,180.0,0011111111111111111111111111111111111111111111110000000000000000,True,1,False,188.0,SUPPORTED,,True
a050_i075,0.5,75,C224,A_C = mathcal A Q_C,188.0,8.0,46,1,180.0,8.0,188.0,True,0011111111111111111111111111111111111111111111110000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,188.0,EQUALIZED_ORDER_SENSITIVITY,1000000.0,64,252.0,188.0,184.0,0111111111111111111111111111111111111111111111110000000000000000,True,1,False,188.0,SUPPORTED,,True
a050_i075,0.5,75,C224,A_C = mathcal A Q_C,-1.0,-1.0,0,0,0.0,-1.0,-1.0,False,0000000000000000000000000000000000000000000000000000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,none,PAIRING_DESTROYED,1.0,64,252.0,-1.0,0.0,0000000000000000000000000000000000000000000000000000000000000000,False,0,False,none,NOT_APPLICABLE,no age on the grid clears the operational threshold,True
a050_i075,0.5,75,C224,A_C = mathcal A Q_C,-1.0,-1.0,0,0,0.0,-1.0,-1.0,False,0000000000000000000000000000000000000000000000000000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,none,PAIRING_DESTROYED,3.0,64,252.0,132.0,68.0,0000001111111100111111111111111111000000000000000000000000000000,False,2,False,132.0,NOT_APPLICABLE,no age on the grid clears the operational threshold,True
a050_i075,0.5,75,C224,A_C = mathcal A Q_C,124.0,36.0,23,1,88.0,36.0,124.0,True,0000000001111111111111111111111100000000000000000000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,124.0,PAIRING_DESTROYED,10.0,64,252.0,144.0,128.0,0000111111111111111111111111111111111000000000000000000000000000,True,1,False,144.0,SUPPORTED,,True
a050_i075,0.5,75,C224,A_C = mathcal A Q_C,136.0,20.0,30,1,116.0,20.0,136.0,True,0000011111111111111111111111111111100000000000000000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,136.0,PAIRING_DESTROYED,30.0,64,252.0,148.0,132.0,0000111111111111111111111111111111111100000000000000000000000000,True,1,False,148.0,SUPPORTED,,True
a050_i075,0.5,75,C224,A_C = mathcal A Q_C,144.0,16.0,33,1,128.0,16.0,144.0,True,0000111111111111111111111111111111111000000000000000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,144.0,PAIRING_DESTROYED,100.0,64,252.0,164.0,152.0,0001111111111111111111111111111111111111110000000000000000000000,True,1,False,164.0,SUPPORTED,,True
a050_i075,0.5,75,C224,A_C = mathcal A Q_C,152.0,16.0,35,1,136.0,16.0,152.0,True,0000111111111111111111111111111111111110000000000000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,152.0,PAIRING_DESTROYED,300.0,64,252.0,172.0,160.0,0001111111111111111111111111111111111111111100000000000000000000,True,1,False,172.0,SUPPORTED,,True
a050_i075,0.5,75,C224,A_C = mathcal A Q_C,160.0,12.0,38,1,148.0,12.0,160.0,True,0001111111111111111111111111111111111111100000000000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,160.0,PAIRING_DESTROYED,1000.0,64,252.0,180.0,168.0,0001111111111111111111111111111111111111111111000000000000000000,True,1,False,180.0,SUPPORTED,,True
a050_i075,0.5,75,C224,A_C = mathcal A Q_C,168.0,12.0,40,1,156.0,12.0,168.0,True,0001111111111111111111111111111111111111111000000000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,168.0,PAIRING_DESTROYED,3000.0,64,252.0,180.0,172.0,0011111111111111111111111111111111111111111111000000000000000000,True,1,False,180.0,SUPPORTED,,True
a050_i075,0.5,75,C224,A_C = mathcal A Q_C,180.0,12.0,43,1,168.0,12.0,180.0,True,0001111111111111111111111111111111111111111111000000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,180.0,PAIRING_DESTROYED,10000.0,64,252.0,184.0,176.0,0011111111111111111111111111111111111111111111100000000000000000,True,1,False,184.0,SUPPORTED,,True
a050_i075,0.5,75,C224,A_C = mathcal A Q_C,180.0,8.0,44,1,172.0,8.0,180.0,True,0011111111111111111111111111111111111111111111000000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,180.0,PAIRING_DESTROYED,30000.0,64,252.0,184.0,176.0,0011111111111111111111111111111111111111111111100000000000000000,True,1,False,184.0,SUPPORTED,,True
a050_i075,0.5,75,C224,A_C = mathcal A Q_C,184.0,8.0,45,1,176.0,8.0,184.0,True,0011111111111111111111111111111111111111111111100000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,184.0,PAIRING_DESTROYED,100000.0,64,252.0,184.0,176.0,0011111111111111111111111111111111111111111111100000000000000000,True,1,False,184.0,SUPPORTED,,True
a050_i075,0.5,75,C224,A_C = mathcal A Q_C,184.0,8.0,45,1,176.0,8.0,184.0,True,0011111111111111111111111111111111111111111111100000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,184.0,PAIRING_DESTROYED,1000000.0,64,252.0,188.0,184.0,0111111111111111111111111111111111111111111111110000000000000000,True,1,False,188.0,SUPPORTED,,True
a090_i020,0.9,20,C224,A_C = mathcal A Q_C,-1.0,-1.0,0,0,0.0,-1.0,-1.0,False,0000000000000000000000000000000000000000000000000000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,none,DIRECT_PHYSICAL,1.0,64,252.0,-1.0,0.0,0000000000000000000000000000000000000000000000000000000000000000,False,0,False,none,NOT_APPLICABLE,no age on the grid clears the operational threshold,True
a090_i020,0.9,20,C224,A_C = mathcal A Q_C,-1.0,-1.0,0,0,0.0,-1.0,-1.0,False,0000000000000000000000000000000000000000000000000000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,none,DIRECT_PHYSICAL,3.0,64,252.0,16.0,16.0,1111100000000000000000000000000000000000000000000000000000000000,True,1,False,16.0,NOT_APPLICABLE,no age on the grid clears the operational threshold,True
a090_i020,0.9,20,C224,A_C = mathcal A Q_C,16.0,0.0,5,1,16.0,0.0,16.0,True,1111100000000000000000000000000000000000000000000000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,16.0,DIRECT_PHYSICAL,10.0,64,252.0,20.0,20.0,1111110000000000000000000000000000000000000000000000000000000000,True,1,False,20.0,SUPPORTED,,True
a090_i020,0.9,20,C224,A_C = mathcal A Q_C,20.0,0.0,6,1,20.0,0.0,20.0,True,1111110000000000000000000000000000000000000000000000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,20.0,DIRECT_PHYSICAL,30.0,64,252.0,20.0,20.0,1111110000000000000000000000000000000000000000000000000000000000,True,1,False,20.0,SUPPORTED,,True
a090_i020,0.9,20,C224,A_C = mathcal A Q_C,20.0,0.0,6,1,20.0,0.0,20.0,True,1111110000000000000000000000000000000000000000000000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,20.0,DIRECT_PHYSICAL,100.0,64,252.0,24.0,24.0,1111111000000000000000000000000000000000000000000000000000000000,True,1,False,24.0,SUPPORTED,,True
a090_i020,0.9,20,C224,A_C = mathcal A Q_C,24.0,0.0,7,1,24.0,0.0,24.0,True,1111111000000000000000000000000000000000000000000000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,24.0,DIRECT_PHYSICAL,300.0,64,252.0,24.0,24.0,1111111000000000000000000000000000000000000000000000000000000000,True,1,False,24.0,SUPPORTED,,True
a090_i020,0.9,20,C224,A_C = mathcal A Q_C,24.0,0.0,7,1,24.0,0.0,24.0,True,1111111000000000000000000000000000000000000000000000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,24.0,DIRECT_PHYSICAL,1000.0,64,252.0,24.0,24.0,1111111000000000000000000000000000000000000000000000000000000000,True,1,False,24.0,SUPPORTED,,True
a090_i020,0.9,20,C224,A_C = mathcal A Q_C,24.0,0.0,7,1,24.0,0.0,24.0,True,1111111000000000000000000000000000000000000000000000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,24.0,DIRECT_PHYSICAL,3000.0,64,252.0,28.0,28.0,1111111100000000000000000000000000000000000000000000000000000000,True,1,False,28.0,SUPPORTED,,True
a090_i020,0.9,20,C224,A_C = mathcal A Q_C,28.0,0.0,8,1,28.0,0.0,28.0,True,1111111100000000000000000000000000000000000000000000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,28.0,DIRECT_PHYSICAL,10000.0,64,252.0,28.0,28.0,1111111100000000000000000000000000000000000000000000000000000000,True,1,False,28.0,SUPPORTED,,True
a090_i020,0.9,20,C224,A_C = mathcal A Q_C,28.0,0.0,8,1,28.0,0.0,28.0,True,1111111100000000000000000000000000000000000000000000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,28.0,DIRECT_PHYSICAL,30000.0,64,252.0,28.0,28.0,1111111100000000000000000000000000000000000000000000000000000000,True,1,False,28.0,SUPPORTED,,True
a090_i020,0.9,20,C224,A_C = mathcal A Q_C,28.0,0.0,8,1,28.0,0.0,28.0,True,1111111100000000000000000000000000000000000000000000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,28.0,DIRECT_PHYSICAL,100000.0,64,252.0,28.0,28.0,1111111100000000000000000000000000000000000000000000000000000000,True,1,False,28.0,SUPPORTED,,True
a090_i020,0.9,20,C224,A_C = mathcal A Q_C,28.0,0.0,8,1,28.0,0.0,28.0,True,1111111100000000000000000000000000000000000000000000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,28.0,DIRECT_PHYSICAL,1000000.0,64,252.0,32.0,32.0,1111111110000000000000000000000000000000000000000000000000000000,True,1,False,32.0,SUPPORTED,,True
a090_i020,0.9,20,C224,A_C = mathcal A Q_C,-1.0,-1.0,0,0,0.0,-1.0,-1.0,False,0000000000000000000000000000000000000000000000000000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,none,RESOLVED_PHYSICAL,1.0,64,252.0,-1.0,0.0,0000000000000000000000000000000000000000000000000000000000000000,False,0,False,none,NOT_APPLICABLE,no age on the grid clears the operational threshold,True
a090_i020,0.9,20,C224,A_C = mathcal A Q_C,-1.0,-1.0,0,0,0.0,-1.0,-1.0,False,0000000000000000000000000000000000000000000000000000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,none,RESOLVED_PHYSICAL,3.0,64,252.0,16.0,16.0,1111100000000000000000000000000000000000000000000000000000000000,True,1,False,16.0,NOT_APPLICABLE,no age on the grid clears the operational threshold,True
a090_i020,0.9,20,C224,A_C = mathcal A Q_C,16.0,0.0,5,1,16.0,0.0,16.0,True,1111100000000000000000000000000000000000000000000000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,16.0,RESOLVED_PHYSICAL,10.0,64,252.0,20.0,20.0,1111110000000000000000000000000000000000000000000000000000000000,True,1,False,20.0,SUPPORTED,,True
a090_i020,0.9,20,C224,A_C = mathcal A Q_C,20.0,0.0,6,1,20.0,0.0,20.0,True,1111110000000000000000000000000000000000000000000000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,20.0,RESOLVED_PHYSICAL,30.0,64,252.0,44.0,44.0,1111111111110000000000000000000000000000000000000000000000000000,True,1,False,44.0,SUPPORTED,,True
a090_i020,0.9,20,C224,A_C = mathcal A Q_C,60.0,0.0,16,1,60.0,0.0,60.0,True,1111111111111111000000000000000000000000000000000000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,60.0,RESOLVED_PHYSICAL,100.0,64,252.0,72.0,72.0,1111111111111111111000000000000000000000000000000000000000000000,True,1,False,72.0,SUPPORTED,,True
a090_i020,0.9,20,C224,A_C = mathcal A Q_C,76.0,0.0,20,1,76.0,0.0,76.0,True,1111111111111111111100000000000000000000000000000000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,76.0,RESOLVED_PHYSICAL,300.0,64,252.0,80.0,80.0,1111111111111111111110000000000000000000000000000000000000000000,True,1,False,80.0,SUPPORTED,,True
a090_i020,0.9,20,C224,A_C = mathcal A Q_C,84.0,0.0,22,1,84.0,0.0,84.0,True,1111111111111111111111000000000000000000000000000000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,84.0,RESOLVED_PHYSICAL,1000.0,64,252.0,92.0,92.0,1111111111111111111111110000000000000000000000000000000000000000,True,1,False,92.0,SUPPORTED,,True
a090_i020,0.9,20,C224,A_C = mathcal A Q_C,92.0,0.0,24,1,92.0,0.0,92.0,True,1111111111111111111111110000000000000000000000000000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,92.0,RESOLVED_PHYSICAL,3000.0,64,252.0,96.0,96.0,1111111111111111111111111000000000000000000000000000000000000000,True,1,False,96.0,SUPPORTED,,True
a090_i020,0.9,20,C224,A_C = mathcal A Q_C,96.0,0.0,25,1,96.0,0.0,96.0,True,1111111111111111111111111000000000000000000000000000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,96.0,RESOLVED_PHYSICAL,10000.0,64,252.0,100.0,100.0,1111111111111111111111111100000000000000000000000000000000000000,True,1,False,100.0,SUPPORTED,,True
a090_i020,0.9,20,C224,A_C = mathcal A Q_C,100.0,0.0,26,1,100.0,0.0,100.0,True,1111111111111111111111111100000000000000000000000000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,100.0,RESOLVED_PHYSICAL,30000.0,64,252.0,100.0,100.0,1111111111111111111111111100000000000000000000000000000000000000,True,1,False,100.0,SUPPORTED,,True
a090_i020,0.9,20,C224,A_C = mathcal A Q_C,100.0,0.0,26,1,100.0,0.0,100.0,True,1111111111111111111111111100000000000000000000000000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,100.0,RESOLVED_PHYSICAL,100000.0,64,252.0,100.0,100.0,1111111111111111111111111100000000000000000000000000000000000000,True,1,False,100.0,SUPPORTED,,True
a090_i020,0.9,20,C224,A_C = mathcal A Q_C,104.0,0.0,27,1,104.0,0.0,104.0,True,1111111111111111111111111110000000000000000000000000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,104.0,RESOLVED_PHYSICAL,1000000.0,64,252.0,104.0,104.0,1111111111111111111111111110000000000000000000000000000000000000,True,1,False,104.0,SUPPORTED,,True
a090_i020,0.9,20,C224,A_C = mathcal A Q_C,-1.0,-1.0,0,0,0.0,-1.0,-1.0,False,0000000000000000000000000000000000000000000000000000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,none,UNRESOLVED_IMAGE,1.0,64,252.0,-1.0,0.0,0000000000000000000000000000000000000000000000000000000000000000,False,0,False,none,NOT_APPLICABLE,no age on the grid clears the operational threshold,True
a090_i020,0.9,20,C224,A_C = mathcal A Q_C,-1.0,-1.0,0,0,0.0,-1.0,-1.0,False,0000000000000000000000000000000000000000000000000000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,none,UNRESOLVED_IMAGE,3.0,64,252.0,16.0,16.0,1111100000000000000000000000000000000000000000000000000000000000,True,1,False,16.0,NOT_APPLICABLE,no age on the grid clears the operational threshold,True
a090_i020,0.9,20,C224,A_C = mathcal A Q_C,16.0,0.0,5,1,16.0,0.0,16.0,True,1111100000000000000000000000000000000000000000000000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,16.0,UNRESOLVED_IMAGE,10.0,64,252.0,20.0,20.0,1111110000000000000000000000000000000000000000000000000000000000,True,1,False,20.0,SUPPORTED,,True
a090_i020,0.9,20,C224,A_C = mathcal A Q_C,20.0,0.0,6,1,20.0,0.0,20.0,True,1111110000000000000000000000000000000000000000000000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,20.0,UNRESOLVED_IMAGE,30.0,64,252.0,20.0,20.0,1111110000000000000000000000000000000000000000000000000000000000,True,1,False,20.0,SUPPORTED,,True
a090_i020,0.9,20,C224,A_C = mathcal A Q_C,20.0,0.0,6,1,20.0,0.0,20.0,True,1111110000000000000000000000000000000000000000000000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,20.0,UNRESOLVED_IMAGE,100.0,64,252.0,28.0,28.0,1111111100000000000000000000000000000000000000000000000000000000,True,1,False,28.0,SUPPORTED,,True
a090_i020,0.9,20,C224,A_C = mathcal A Q_C,24.0,0.0,7,1,24.0,0.0,24.0,True,1111111000000000000000000000000000000000000000000000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,24.0,UNRESOLVED_IMAGE,300.0,64,252.0,52.0,52.0,1111111111111100000000000000000000000000000000000000000000000000,True,1,False,52.0,SUPPORTED,,True
a090_i020,0.9,20,C224,A_C = mathcal A Q_C,68.0,0.0,18,1,68.0,0.0,68.0,True,1111111111111111110000000000000000000000000000000000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,68.0,UNRESOLVED_IMAGE,1000.0,64,252.0,80.0,80.0,1111111111111111111110000000000000000000000000000000000000000000,True,1,False,80.0,SUPPORTED,,True
a090_i020,0.9,20,C224,A_C = mathcal A Q_C,80.0,0.0,21,1,80.0,0.0,80.0,True,1111111111111111111110000000000000000000000000000000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,80.0,UNRESOLVED_IMAGE,3000.0,64,252.0,84.0,84.0,1111111111111111111111000000000000000000000000000000000000000000,True,1,False,84.0,SUPPORTED,,True
a090_i020,0.9,20,C224,A_C = mathcal A Q_C,84.0,0.0,22,1,84.0,0.0,84.0,True,1111111111111111111111000000000000000000000000000000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,84.0,UNRESOLVED_IMAGE,10000.0,64,252.0,84.0,84.0,1111111111111111111111000000000000000000000000000000000000000000,True,1,False,84.0,SUPPORTED,,True
a090_i020,0.9,20,C224,A_C = mathcal A Q_C,92.0,0.0,24,1,92.0,0.0,92.0,True,1111111111111111111111110000000000000000000000000000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,92.0,UNRESOLVED_IMAGE,30000.0,64,252.0,96.0,96.0,1111111111111111111111111000000000000000000000000000000000000000,True,1,False,96.0,SUPPORTED,,True
a090_i020,0.9,20,C224,A_C = mathcal A Q_C,96.0,0.0,25,1,96.0,0.0,96.0,True,1111111111111111111111111000000000000000000000000000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,96.0,UNRESOLVED_IMAGE,100000.0,64,252.0,100.0,100.0,1111111111111111111111111100000000000000000000000000000000000000,True,1,False,100.0,SUPPORTED,,True
a090_i020,0.9,20,C224,A_C = mathcal A Q_C,100.0,0.0,26,1,100.0,0.0,100.0,True,1111111111111111111111111100000000000000000000000000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,100.0,UNRESOLVED_IMAGE,1000000.0,64,252.0,100.0,100.0,1111111111111111111111111100000000000000000000000000000000000000,True,1,False,100.0,SUPPORTED,,True
a090_i020,0.9,20,C224,A_C = mathcal A Q_C,-1.0,-1.0,0,0,0.0,-1.0,-1.0,False,0000000000000000000000000000000000000000000000000000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,none,TOTAL_FLUX,1.0,64,252.0,-1.0,0.0,0000000000000000000000000000000000000000000000000000000000000000,False,0,False,none,NOT_APPLICABLE,no age on the grid clears the operational threshold,True
a090_i020,0.9,20,C224,A_C = mathcal A Q_C,-1.0,-1.0,0,0,0.0,-1.0,-1.0,False,0000000000000000000000000000000000000000000000000000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,none,TOTAL_FLUX,3.0,64,252.0,12.0,12.0,1111000000000000000000000000000000000000000000000000000000000000,True,1,False,12.0,NOT_APPLICABLE,no age on the grid clears the operational threshold,True
a090_i020,0.9,20,C224,A_C = mathcal A Q_C,12.0,0.0,4,1,12.0,0.0,12.0,True,1111000000000000000000000000000000000000000000000000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,12.0,TOTAL_FLUX,10.0,64,252.0,16.0,16.0,1111100000000000000000000000000000000000000000000000000000000000,True,1,False,16.0,SUPPORTED,,True
a090_i020,0.9,20,C224,A_C = mathcal A Q_C,16.0,0.0,5,1,16.0,0.0,16.0,True,1111100000000000000000000000000000000000000000000000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,16.0,TOTAL_FLUX,30.0,64,252.0,32.0,32.0,1111111110000000000000000000000000000000000000000000000000000000,True,1,False,32.0,SUPPORTED,,True
a090_i020,0.9,20,C224,A_C = mathcal A Q_C,20.0,0.0,6,1,20.0,0.0,20.0,True,1111110000000000000000000000000000000000000000000000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,20.0,TOTAL_FLUX,100.0,64,252.0,44.0,44.0,1111111111110000000000000000000000000000000000000000000000000000,True,1,False,44.0,SUPPORTED,,True
a090_i020,0.9,20,C224,A_C = mathcal A Q_C,48.0,0.0,13,1,48.0,0.0,48.0,True,1111111111111000000000000000000000000000000000000000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,48.0,TOTAL_FLUX,300.0,64,252.0,56.0,56.0,1111111111111110000000000000000000000000000000000000000000000000,True,1,False,56.0,SUPPORTED,,True
a090_i020,0.9,20,C224,A_C = mathcal A Q_C,72.0,0.0,19,1,72.0,0.0,72.0,True,1111111111111111111000000000000000000000000000000000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,72.0,TOTAL_FLUX,1000.0,64,252.0,72.0,72.0,1111111111111111111000000000000000000000000000000000000000000000,True,1,False,72.0,SUPPORTED,,True
a090_i020,0.9,20,C224,A_C = mathcal A Q_C,76.0,0.0,20,1,76.0,0.0,76.0,True,1111111111111111111100000000000000000000000000000000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,76.0,TOTAL_FLUX,3000.0,64,252.0,80.0,80.0,1111111111111111111110000000000000000000000000000000000000000000,True,1,False,80.0,SUPPORTED,,True
a090_i020,0.9,20,C224,A_C = mathcal A Q_C,84.0,0.0,22,1,84.0,0.0,84.0,True,1111111111111111111111000000000000000000000000000000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,84.0,TOTAL_FLUX,10000.0,64,252.0,92.0,92.0,1111111111111111111111110000000000000000000000000000000000000000,True,1,False,92.0,SUPPORTED,,True
a090_i020,0.9,20,C224,A_C = mathcal A Q_C,92.0,0.0,24,1,92.0,0.0,92.0,True,1111111111111111111111110000000000000000000000000000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,92.0,TOTAL_FLUX,30000.0,64,252.0,96.0,96.0,1111111111111111111111111000000000000000000000000000000000000000,True,1,False,96.0,SUPPORTED,,True
a090_i020,0.9,20,C224,A_C = mathcal A Q_C,96.0,0.0,25,1,96.0,0.0,96.0,True,1111111111111111111111111000000000000000000000000000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,96.0,TOTAL_FLUX,100000.0,64,252.0,96.0,96.0,1111111111111111111111111000000000000000000000000000000000000000,True,1,False,96.0,SUPPORTED,,True
a090_i020,0.9,20,C224,A_C = mathcal A Q_C,100.0,0.0,26,1,100.0,0.0,100.0,True,1111111111111111111111111100000000000000000000000000000000000000,False,252.0,252.0,a depth equal to the common age-grid ceiling is right-censored and reported as a lower bound,100.0,TOTAL_FLUX,1000000.0,64,252.0,100.0,100.0,1111111111111111111111111100000000000000000000000000000000000000,True,1,False,100.0,SUPPORTED,,True
